Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Count
Respiratory,Borough,Bronx,Age Group,All age groups,1/1/16,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/2/16,366
Respiratory,Borough,Bronx,Age Group,All age groups,1/3/16,316
Respiratory,Borough,Bronx,Age Group,All age groups,1/4/16,363
Respiratory,Borough,Bronx,Age Group,All age groups,1/5/16,302
Respiratory,Borough,Bronx,Age Group,All age groups,1/6/16,339
Respiratory,Borough,Bronx,Age Group,All age groups,1/7/16,322
Respiratory,Borough,Bronx,Age Group,All age groups,1/8/16,302
Respiratory,Borough,Bronx,Age Group,All age groups,1/9/16,266
Respiratory,Borough,Bronx,Age Group,All age groups,1/10/16,247
Respiratory,Borough,Bronx,Age Group,All age groups,1/11/16,343
Respiratory,Borough,Bronx,Age Group,All age groups,1/12/16,344
Respiratory,Borough,Bronx,Age Group,All age groups,1/13/16,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/14/16,289
Respiratory,Borough,Bronx,Age Group,All age groups,1/15/16,264
Respiratory,Borough,Bronx,Age Group,All age groups,1/16/16,279
Respiratory,Borough,Bronx,Age Group,All age groups,1/17/16,272
Respiratory,Borough,Bronx,Age Group,All age groups,1/18/16,299
Respiratory,Borough,Bronx,Age Group,All age groups,1/19/16,327
Respiratory,Borough,Bronx,Age Group,All age groups,1/20/16,281
Respiratory,Borough,Bronx,Age Group,All age groups,1/21/16,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/22/16,268
Respiratory,Borough,Bronx,Age Group,All age groups,1/23/16,105
Respiratory,Borough,Bronx,Age Group,All age groups,1/24/16,214
Respiratory,Borough,Bronx,Age Group,All age groups,1/25/16,368
Respiratory,Borough,Bronx,Age Group,All age groups,1/26/16,312
Respiratory,Borough,Bronx,Age Group,All age groups,1/27/16,306
Respiratory,Borough,Bronx,Age Group,All age groups,1/28/16,320
Respiratory,Borough,Bronx,Age Group,All age groups,1/29/16,280
Respiratory,Borough,Bronx,Age Group,All age groups,1/30/16,231
Respiratory,Borough,Bronx,Age Group,All age groups,1/31/16,267
Respiratory,Borough,Bronx,Age Group,All age groups,2/1/16,311
Respiratory,Borough,Bronx,Age Group,All age groups,2/2/16,332
Respiratory,Borough,Bronx,Age Group,All age groups,2/3/16,289
Respiratory,Borough,Bronx,Age Group,All age groups,2/4/16,303
Respiratory,Borough,Bronx,Age Group,All age groups,2/5/16,272
Respiratory,Borough,Bronx,Age Group,All age groups,2/6/16,271
Respiratory,Borough,Bronx,Age Group,All age groups,2/7/16,286
Respiratory,Borough,Bronx,Age Group,All age groups,2/8/16,340
Respiratory,Borough,Bronx,Age Group,All age groups,2/9/16,391
Respiratory,Borough,Bronx,Age Group,All age groups,2/10/16,346
Respiratory,Borough,Bronx,Age Group,All age groups,2/11/16,347
